,_id,CPV_code
139,5bfd634eeca306f8c5bc0010,79410000-1
140,5bfd6348eca306f8c5bbfff6,66510000-8
141,5bfd634feca306f8c5bc0020,99999999-9
142,5bfd6348eca306f8c5bbfff3,37530000-2
143,5bfd6333eca306f8c5bbff6f,0
144,5bfd6331eca306f8c5bbff6a,79810000-5
145,5bfd6337eca306f8c5bbff8f,0
146,5bfd6346eca306f8c5bbffeb,0
147,5bfd633ceca306f8c5bbffb0,44111200-3
148,5bfd632eeca306f8c5bbff5d,0
149,5bfd6339eca306f8c5bbff9d,0
150,5bfd632eeca306f8c5bbff60,70120000-8
151,5bfd6339eca306f8c5bbffa1,44510000-8
152,5bfd6339eca306f8c5bbffa0,39140000-5
153,5bfd634feca306f8c5bc0018,09330000-1
154,5bfd6331eca306f8c5bbff67,30190000-7
155,5bfd64feeca306f8c5bc0394,71520000-9
156,5bfd633ceca306f8c5bbffb7,33140000-3
157,5bfd634feca306f8c5bc001d,30213000-5
158,5bfd633feca306f8c5bbffc4,45000000-7
159,5bfd632eeca306f8c5bbff5e,0
160,5bfd6335eca306f8c5bbff83,15540000-5
161,5bfd633beca306f8c5bbffa9,0
162,5bfd6344eca306f8c5bbffe1,0
163,5bfd650eeca306f8c5bc03c9,0
164,5bfd634beca306f8c5bc0008,44160000-9
165,5bfd632eeca306f8c5bbff5c,44510000-8
166,5bfd6335eca306f8c5bbff84,15810000-9
167,5bfd6331eca306f8c5bbff69,80520000-5
168,5bfd5f8eeca306f8c5bbfa21,0
169,5bfd5f99eca306f8c5bbfa48,33760000-5
170,5bfd5f8eeca306f8c5bbfa1f,48820000-2
171,5bfd5fa1eca306f8c5bbfa68,37460000-0
172,5bfd5f95eca306f8c5bbfa37,45310000-3
173,5bfd5f86eca306f8c5bbf9fd,39290000-1
174,5bfd5f89eca306f8c5bbfa06,45430000-0
175,5bfd5f99eca306f8c5bbfa4c,50420000-5
176,5bfd5f95eca306f8c5bbfa31,15840000-8
177,5bfd5f95eca306f8c5bbfa33,71520000-9
178,5bfd5f86eca306f8c5bbf9f3,0
179,5bfd5f81eca306f8c5bbf9e9,35110000-8
180,5bfd5f99eca306f8c5bbfa4e,44220000-8
181,5bfd5f79eca306f8c5bbf9ce,45453000-7
182,5bfd5f8deca306f8c5bbfa1a,45233142-6
183,5bfd5f95eca306f8c5bbfa35,34352100-0
184,5bfd5f81eca306f8c5bbf9e2,45453000-7
185,5bfd5f75eca306f8c5bbf9b7,0
186,5bfd5fa1eca306f8c5bbfa66,15530000-2
187,5bfd5f95eca306f8c5bbfa3a,32340000-8
188,5bfd5f86eca306f8c5bbf9f6,0
189,5bfd5f8eeca306f8c5bbfa1d,90720000-0
190,5bfd5f79eca306f8c5bbf9d0,0
191,5bfd5f68eca306f8c5bbf980,0
192,5bfd5f79eca306f8c5bbf9cc,0
193,5bfd5f62eca306f8c5bbf960,0
194,5bfd5f68eca306f8c5bbf981,0
195,5bfd5f6ceca306f8c5bbf996,45233142-6
196,5bfd5f89eca306f8c5bbfa0a,09110000-3
197,5bfd5f55eca306f8c5bbf934,0
198,5bfd5f65eca306f8c5bbf96d,44110000-4
199,5bfd5f81eca306f8c5bbf9e7,0
200,5bfd5f55eca306f8c5bbf929,0
201,5bfd5f68eca306f8c5bbf982,50110000-9
202,5bfd5f79eca306f8c5bbf9cd,0
203,5bfd5f86eca306f8c5bbf9f8,45233142-6
204,5bfd633ceca306f8c5bbffb5,03413000-8
205,5bfd5f55eca306f8c5bbf92e,0
206,5bfd5f81eca306f8c5bbf9e6,77230000-1
207,5bfd5f75eca306f8c5bbf9b4,0
208,5bfd6237eca306f8c5bbfdef,44221000-5
209,5bfd5f68eca306f8c5bbf97f,0
210,5bfd5f86eca306f8c5bbf9fa,45320000-6
211,5bfd5f99eca306f8c5bbfa4a,71240000-2
212,5bfd5f65eca306f8c5bbf96f,0
213,5bfd5fa1eca306f8c5bbfa6a,31710000-6
214,5bfd5f65eca306f8c5bbf96c,45450000-6
215,5bfd5f65eca306f8c5bbf973,15110000-2
216,5bfd5f8deca306f8c5bbfa1b,09320000-8
217,5bfd5fa1eca306f8c5bbfa63,45230000-8
218,5bfd5f63eca306f8c5bbf963,79980000-7
219,5bfd5f79eca306f8c5bbf9d1,39140000-5
220,5bfd6344eca306f8c5bbffe0,31520000-7
221,5bfd6717eca306f8c5bc0777,0
222,5bfd5f65eca306f8c5bbf972,15540000-5
223,5bfd651deca306f8c5bc0431,09130000-9
224,5bfd5f75eca306f8c5bbf9bb,45310000-3
225,5bfd5fa1eca306f8c5bbfa6b,33600000-6
226,5bfd5f79eca306f8c5bbf9cb,30210000-4
227,5bfd671feca306f8c5bc079d,0
228,5bfd5f55eca306f8c5bbf92b,34310000-3
229,5bfd5dc4eca306f8c5bbf61c,0
230,5bfd5dcbeca306f8c5bbf63d,15110000-2
231,5bfd6344eca306f8c5bbffdc,22210000-5
232,5bfd5dcbeca306f8c5bbf638,44610000-9
233,5bfd5dc4eca306f8c5bbf61a,0
234,5bfd5c7deca306f8c5bbf3e6,0
235,5bfd5c7deca306f8c5bbf3f0,39130000-2
236,5bfd5c7deca306f8c5bbf3de,15510000-6
237,5bfd5dc4eca306f8c5bbf612,45310000-3
238,5bfd5c79eca306f8c5bbf3cf,0
239,5bfd5c79eca306f8c5bbf3cb,09310000-5
240,5bfd5c79eca306f8c5bbf3ce,71320000-7
241,5bfd5c85eca306f8c5bbf414,50320000-4
242,5bfd5dbaeca306f8c5bbf5f4,30197630-1
243,5bfd5c7deca306f8c5bbf3ee,0
244,5bfd5c7deca306f8c5bbf3df,0
245,5bfd5c75eca306f8c5bbf3bc,37530000-2
246,5bfd5dcbeca306f8c5bbf632,0
247,5bfd5c85eca306f8c5bbf40d,79810000-5
248,5bfd5c64eca306f8c5bbf385,34352300-2
249,5bfd5c75eca306f8c5bbf3bb,15830000-5
250,5bfd5c6feca306f8c5bbf39f,60140000-1
251,5bfd5dcbeca306f8c5bbf636,15110000-2
252,5bfd5c64eca306f8c5bbf382,48150000-4
253,5bfd5c6feca306f8c5bbf3a3,0
254,5bfd5dcbeca306f8c5bbf630,39290000-1
255,5bfd5c75eca306f8c5bbf3b9,31220000-4
256,5bfd5dc4eca306f8c5bbf615,0
257,5bfd5dc4eca306f8c5bbf61d,44220000-8
258,5bfd5c63eca306f8c5bbf380,0
259,5bfd5dbaeca306f8c5bbf5fa,15130000-8
260,5bfd5c82eca306f8c5bbf400,0
261,5bfd5c59eca306f8c5bbf351,0
262,5bfd5c85eca306f8c5bbf411,31710000-6
263,5bfd5c63eca306f8c5bbf37f,19520000-7
264,5bfd5c64eca306f8c5bbf381,0
265,5bfd5dbaeca306f8c5bbf5fd,77211300-5
266,5bfd5c50eca306f8c5bbf335,15330000-0
267,5bfd5c5feca306f8c5bbf36d,72212000-4
268,5bfd5c5feca306f8c5bbf370,33760000-5
269,5bfd5c5feca306f8c5bbf36a,0
270,5bfd5c56eca306f8c5bbf348,0
271,5bfd5dcbeca306f8c5bbf63c,71220000-6
272,5bfd5c50eca306f8c5bbf333,0
273,5bfd5c79eca306f8c5bbf3cc,71340000-3
274,5bfd5c75eca306f8c5bbf3bf,50420000-5
275,5bfd5c5aeca306f8c5bbf358,79710000-4
276,5bfd5c4ceca306f8c5bbf321,44410000-7
277,5bfd5c56eca306f8c5bbf345,0
278,5bfd5dc4eca306f8c5bbf610,33158000-2
279,5bfd5dbaeca306f8c5bbf5f7,50720000-8
280,5bfd5c82eca306f8c5bbf3fd,15330000-0
281,5bfd5c82eca306f8c5bbf3f9,33690000-3
282,5bfd5c5aeca306f8c5bbf356,45000000-7
283,5bfd5c2feca306f8c5bbf2e2,31210000-1
284,5bfd5c75eca306f8c5bbf3ba,15000000-8
285,5bfd5c5aeca306f8c5bbf355,80520000-5
286,5bfd5c85eca306f8c5bbf416,34320000-6
287,5bfd6331eca306f8c5bbff68,15530000-2
288,5bfd5c2feca306f8c5bbf2e8,32330000-5
289,5bfd5c56eca306f8c5bbf343,50310000-1
290,5bfd5c2feca306f8c5bbf2e6,0
291,5bfd5c4ceca306f8c5bbf320,03220000-9
292,5bfd5c2feca306f8c5bbf2e3,45330000-9
293,5bfd5c59eca306f8c5bbf352,44110000-4
294,5bfd5c7deca306f8c5bbf3e4,48150000-4
295,5bfd59f0eca306f8c5bbefa8,50310000-1
296,5bfd59edeca306f8c5bbef94,44220000-8
297,5bfd59edeca306f8c5bbef93,33600000-6
298,5bfd59edeca306f8c5bbef8b,0
299,5bfd59edeca306f8c5bbef8a,45450000-6
300,5bfd59e9eca306f8c5bbef76,38430000-8
301,5bfd59f0eca306f8c5bbefaa,44130000-0
302,5bfd59edeca306f8c5bbef8e,71340000-3
303,5bfd59edeca306f8c5bbef89,18530000-3
304,5bfd59dfeca306f8c5bbef57,15130000-8
305,5bfd59e3eca306f8c5bbef66,0
306,5bfd59dfeca306f8c5bbef53,34110000-1
307,5bfd59d5eca306f8c5bbef0f,33600000-6
308,5bfd59d2eca306f8c5bbeef4,0
309,5bfd59f0eca306f8c5bbefad,0
310,5bfd59dfeca306f8c5bbef55,0
311,5bfd59d8eca306f8c5bbef28,45112700-2
312,5bfd59cfeca306f8c5bbeedc,80520000-5
313,5bfd59cfeca306f8c5bbeedd,0
314,5bfd59dfeca306f8c5bbef4f,0
315,5bfd59cdeca306f8c5bbeec5,92620000-3
316,5bfd59dbeca306f8c5bbef37,0
317,5bfd59caeca306f8c5bbeebe,44810000-1
318,5bfd59c7eca306f8c5bbee2a,0
319,5bfd59dbeca306f8c5bbef3a,15220000-6
320,5bfd59e9eca306f8c5bbef7d,31680000-6
321,5bfd59d8eca306f8c5bbef2a,03140000-4
322,5bfd59f0eca306f8c5bbefa7,18410000-6
323,5bfd59cdeca306f8c5bbeeca,09320000-8
324,5bfd59caeca306f8c5bbeeba,15510000-6
325,5bfd59cdeca306f8c5bbeec4,15540000-5
326,5bfd59d2eca306f8c5bbeefb,0
327,5bfd59d2eca306f8c5bbeef9,32340000-8
328,5bfd59d8eca306f8c5bbef29,0
329,5bfd59d5eca306f8c5bbef10,38548000-8
330,5bfd59dbeca306f8c5bbef40,09120000-6
331,5bfd59e9eca306f8c5bbef79,15110000-2
332,5bfd59d8eca306f8c5bbef21,15530000-2
333,5bfd59b4eca306f8c5bbecf5,0
334,5bfd59c7eca306f8c5bbee28,39510000-0
335,5bfd59c3eca306f8c5bbeda0,33120000-7
336,5bfd59d5eca306f8c5bbef0d,79820000-8
337,5bfd59d8eca306f8c5bbef23,33690000-3
338,5bfd59cdeca306f8c5bbeec9,38430000-8
339,5bfd59dbeca306f8c5bbef42,45400000-1
340,5bfd59dbeca306f8c5bbef38,0
341,5bfd59edeca306f8c5bbef8d,15870000-7
342,5bfd59dbeca306f8c5bbef3f,0
343,5bfd59c3eca306f8c5bbed98,22458000-5
344,5bfd633ceca306f8c5bbffb1,45340000-2
345,5bfd59caeca306f8c5bbeeb9,51210000-7
346,5bfd59e9eca306f8c5bbef75,22210000-5
347,5bfd59c0eca306f8c5bbed49,34210000-2
348,5bfd59c3eca306f8c5bbed9e,37530000-2
349,5bfd59b4eca306f8c5bbecf1,0
350,5bfd59b4eca306f8c5bbecef,45000000-7
351,5bfd59c3eca306f8c5bbed9f,32340000-8
352,5bfd59d2eca306f8c5bbeefc,37310000-4
353,5bfd59d5eca306f8c5bbef08,0
354,5bfd5c85eca306f8c5bbf410,80510000-2
355,5bfd59f0eca306f8c5bbefa1,79210000-9
356,5bfd59cfeca306f8c5bbeed9,0
357,5bfd59cfeca306f8c5bbeed8,71340000-3
358,5bfd59c0eca306f8c5bbed4b,33140000-3
359,5bfd59c7eca306f8c5bbee1f,33631600-8
360,5bfd59b4eca306f8c5bbeced,30210000-4
361,5bfd59dbeca306f8c5bbef39,09130000-9
362,5bfd59cfeca306f8c5bbeee1,45450000-6
363,5bfd57c0eca306f8c5bbe9b0,0
364,5bfd59d8eca306f8c5bbef24,39120000-9
365,5bfd57bceca306f8c5bbe998,0
366,5bfd57b6eca306f8c5bbe973,0
367,5bfd57c0eca306f8c5bbe9a7,15550000-8
368,5bfd59e9eca306f8c5bbef78,09130000-9
369,5bfd57c0eca306f8c5bbe9ae,0
370,5bfd57b2eca306f8c5bbe964,71240000-2
371,5bfd57bceca306f8c5bbe995,0
372,5bfd57a2eca306f8c5bbe90c,0
373,5bfd57c0eca306f8c5bbe9ad,14410000-8
374,5bfd57b2eca306f8c5bbe95a,0
375,5bfd57bceca306f8c5bbe98f,0
376,5bfd57afeca306f8c5bbe943,71320000-7
377,5bfd57afeca306f8c5bbe94d,44110000-4
378,5bfd59dfeca306f8c5bbef54,33600000-6
379,5bfd57b6eca306f8c5bbe977,98370000-7
380,5bfd57afeca306f8c5bbe941,15840000-8
381,5bfd57b6eca306f8c5bbe978,0
382,5bfd5793eca306f8c5bbe8ba,0
383,5bfd579ceca306f8c5bbe8ef,0
384,5bfd57a5eca306f8c5bbe928,30210000-4
385,5bfd5793eca306f8c5bbe8b9,03210000-6
386,5bfd57afeca306f8c5bbe947,50110000-9
387,5bfd57a5eca306f8c5bbe926,09310000-5
388,5bfd5798eca306f8c5bbe8ce,0
389,5bfd5789eca306f8c5bbe88e,22450000-9
390,5bfd57b2eca306f8c5bbe95b,42910000-8
391,5bfd57afeca306f8c5bbe949,0
392,5bfd57a5eca306f8c5bbe924,34320000-6
393,5bfd5793eca306f8c5bbe8bc,0
394,5bfd5782eca306f8c5bbe866,0
395,5bfd578deca306f8c5bbe8a6,39130000-2
396,5bfd57a2eca306f8c5bbe90a,31420000-6
397,5bfd57a5eca306f8c5bbe922,18810000-0
398,5bfd57a5eca306f8c5bbe91d,45233000-9
399,5bfd5789eca306f8c5bbe884,45300000-0
400,5bfd57afeca306f8c5bbe946,72260000-5
401,5bfd5774eca306f8c5bbe840,42920000-1
402,5bfd57c0eca306f8c5bbe9ac,50110000-9
403,5bfd5789eca306f8c5bbe890,15330000-0
404,5bfd5775eca306f8c5bbe842,15510000-6
405,5bfd579ceca306f8c5bbe8ea,34330000-9
406,5bfd57afeca306f8c5bbe944,0
407,5bfd5798eca306f8c5bbe8da,64110000-0
408,5bfd5789eca306f8c5bbe887,15890000-3
409,5bfd5793eca306f8c5bbe8bb,09130000-9
410,5bfd5756eca306f8c5bbe807,0
411,5bfd5798eca306f8c5bbe8d4,44410000-7
412,5bfd578deca306f8c5bbe8a4,31730000-2
413,5bfd57a5eca306f8c5bbe91f,15610000-7
414,5bfd5789eca306f8c5bbe88f,15810000-9
415,5bfd5798eca306f8c5bbe8d0,0
416,5bfd5793eca306f8c5bbe8c2,33140000-3
417,5bfd57bceca306f8c5bbe993,39290000-1
418,5bfd5756eca306f8c5bbe80a,0
419,5bfd57bceca306f8c5bbe992,45210000-2
420,5bfd59edeca306f8c5bbef92,66510000-8
421,5bfd5756eca306f8c5bbe809,39220000-0
422,5bfd577beca306f8c5bbe850,0
423,5bfd57b2eca306f8c5bbe966,45000000-7
424,5bfd577beca306f8c5bbe858,0
425,5bfd57a5eca306f8c5bbe91c,71340000-3
426,5bfd57a1eca306f8c5bbe905,30200000-1
427,5bfd5798eca306f8c5bbe8d8,50112000-3
428,5bfd5782eca306f8c5bbe873,15540000-5
429,5bfd57afeca306f8c5bbe93d,44220000-8
430,5bfd57b2eca306f8c5bbe967,09210000-4
431,5bfd5782eca306f8c5bbe872,71240000-2
432,5bfd57a1eca306f8c5bbe904,50730000-1
433,5bfd59dbeca306f8c5bbef3e,0
434,5bfd577beca306f8c5bbe855,0
435,5bfd5fa1eca306f8c5bbfa61,0
436,5bfd5755eca306f8c5bbe803,35120000-1
437,5bfd57b2eca306f8c5bbe95f,22110000-4
438,5bfd57bceca306f8c5bbe990,71320000-7
439,5bfd5793eca306f8c5bbe8c1,42630000-1
440,5bfd59c7eca306f8c5bbee25,37450000-7
441,5bfd57c0eca306f8c5bbe9aa,09130000-9
442,5bfd579ceca306f8c5bbe8f2,39510000-0
443,5bfd57b2eca306f8c5bbe958,15850000-1
444,5bfd578deca306f8c5bbe89f,45230000-8
445,5bfd5782eca306f8c5bbe871,45230000-8
446,5bfd59cfeca306f8c5bbeedb,0
447,5bfd57b6eca306f8c5bbe97c,31681410-0
448,5bfd57afeca306f8c5bbe94e,39830000-9
449,5bfd5755eca306f8c5bbe806,45230000-8
450,5bfd59d5eca306f8c5bbef09,55510000-8
451,5bfd5573eca306f8c5bbe405,0
452,5bfd5573eca306f8c5bbe3fa,44110000-4
453,5bfd5573eca306f8c5bbe3f4,45310000-3
454,5bfd5573eca306f8c5bbe3f1,0
455,5bfd5568eca306f8c5bbe3c5,71320000-7
456,5bfd5568eca306f8c5bbe3bf,31510000-4
457,5bfd5573eca306f8c5bbe3fe,0
458,5bfd555deca306f8c5bbe3a4,38550000-5
459,5bfd5558eca306f8c5bbe37a,0
460,5bfd555deca306f8c5bbe39f,71610000-7
461,5bfd5573eca306f8c5bbe402,30190000-7
462,5bfd5557eca306f8c5bbe369,0
463,5bfd5568eca306f8c5bbe3ba,42910000-8
464,5bfd555deca306f8c5bbe38d,03220000-9
465,5bfd5c6feca306f8c5bbf3a0,37440000-4
466,5bfd554eeca306f8c5bbe340,0
467,5bfd554eeca306f8c5bbe34e,09132000-3
468,5bfd555deca306f8c5bbe397,0
469,5bfd554eeca306f8c5bbe349,90610000-6
470,5bfd5544eca306f8c5bbe31b,0
471,5bfd554eeca306f8c5bbe34b,90620000-9
472,5bfd5569eca306f8c5bbe3d5,45000000-7
473,5bfd555deca306f8c5bbe393,72260000-5
474,5bfd5557eca306f8c5bbe362,0
475,5bfd553eeca306f8c5bbe2fa,0
476,5bfd554eeca306f8c5bbe342,42930000-4
477,5bfd554eeca306f8c5bbe338,15510000-6
478,5bfd5573eca306f8c5bbe401,79996100-3
479,5bfd5573eca306f8c5bbe3e9,15110000-2
480,5bfd553eeca306f8c5bbe302,0
481,5bfd554eeca306f8c5bbe345,19520000-7
482,5bfd5557eca306f8c5bbe364,42130000-9
483,5bfd5568eca306f8c5bbe3bb,50110000-9
484,5bfd554eeca306f8c5bbe339,0
485,5bfd555deca306f8c5bbe39c,0
486,5bfd554eeca306f8c5bbe33a,0
487,5bfd5558eca306f8c5bbe36d,09130000-9
488,5bfd5527eca306f8c5bbe282,0
489,5bfd5544eca306f8c5bbe318,0
490,5bfd552eeca306f8c5bbe2a5,15220000-6
491,5bfd5538eca306f8c5bbe2c7,0
492,5bfd553eeca306f8c5bbe2f0,45450000-6
493,5bfd554eeca306f8c5bbe341,45233142-6
494,5bfd553eeca306f8c5bbe2f6,45232220-0
495,5bfd5520eca306f8c5bbe253,0
496,5bfd553eeca306f8c5bbe2ec,15100000-9
497,5bfd5526eca306f8c5bbe271,39120000-9
498,5bfd551aeca306f8c5bbe232,50110000-9
499,5bfd5538eca306f8c5bbe2ce,44312300-3
500,5bfd5520eca306f8c5bbe246,30230000-0
501,5bfd5527eca306f8c5bbe277,22900000-9
502,5bfd552eeca306f8c5bbe29d,44110000-4
503,5bfd5527eca306f8c5bbe279,15890000-3
504,5bfd552eeca306f8c5bbe297,0
505,5bfd5514eca306f8c5bbe207,0
506,5bfd552eeca306f8c5bbe299,79810000-5
507,5bfd554eeca306f8c5bbe335,50530000-9
508,5bfd551aeca306f8c5bbe22b,90510000-5
509,5bfd5514eca306f8c5bbe201,0
510,5bfd5520eca306f8c5bbe25b,79341500-1
511,5bfd5573eca306f8c5bbe3ed,42163000-9
512,5bfd552eeca306f8c5bbe29f,0
513,5bfd5538eca306f8c5bbe2c1,09120000-6
514,5bfd550deca306f8c5bbe1e4,15811100-7
515,5bfd5520eca306f8c5bbe25a,44810000-1
516,5bfd5544eca306f8c5bbe310,65210000-8
517,5bfd552eeca306f8c5bbe2ab,0
518,5bfd551aeca306f8c5bbe231,0
519,5bfd555deca306f8c5bbe395,45450000-6
520,5bfd5519eca306f8c5bbe222,15110000-2
521,5bfd552eeca306f8c5bbe29c,09320000-8
522,5bfd5544eca306f8c5bbe324,85150000-5
523,5bfd5520eca306f8c5bbe244,0
524,5bfd555deca306f8c5bbe394,39160000-1
525,5bfd5538eca306f8c5bbe2c4,03210000-6
526,5bfd5504eca306f8c5bbe1aa,32320000-2
527,5bfd5568eca306f8c5bbe3c1,71320000-7
528,5bfd550deca306f8c5bbe1e8,50110000-9
529,5bfd5569eca306f8c5bbe3ce,55900000-9
530,5bfd5514eca306f8c5bbe20a,0
531,5bfd5504eca306f8c5bbe1b1,0
532,5bfd54f1eca306f8c5bbe178,0
533,5bfd550deca306f8c5bbe1d9,99999999-9
534,5bfd5526eca306f8c5bbe274,0
535,5bfd5527eca306f8c5bbe27c,39721310-8
