,_id,contracts,contracts.dateSigned,contracts.period.endDate,contracts.period.startDate,contracts.status
7402,5bf8009f5fb2add4506dfcf1,,2018-11-22T16:11:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7403,5bf8009f5fb2add4506dfd0b,,,,,
7404,5bf800a05fb2add4506dfd2f,,2018-11-21T16:25:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7405,5bf8009f5fb2add4506dfcde,,2018-11-22T16:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7406,5bf8009f5fb2add4506dfcd8,,2018-11-21T16:21:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7407,5bf800a35fb2add4506dfe26,,2018-11-22T00:00:00+02:00,2019-01-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7408,5bf800a15fb2add4506dfdaf,,2018-11-21T15:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7409,5bf8009f5fb2add4506dfce1,,2018-10-23T16:22:00+03:00,2018-12-31T00:00:00+02:00,2018-10-23T00:00:00+03:00,active
7410,5bf800a15fb2add4506dfdb6,,2018-11-22T12:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7411,5bf8009f5fb2add4506dfd14,,,,,
7412,5bf800a05fb2add4506dfd2a,,2018-11-22T15:00:00+02:00,2018-11-30T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7413,5bf8009d5fb2add4506dfc91,,,,,
7414,5bf800a05fb2add4506dfd1e,,2018-11-22T00:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7415,5bf8009f5fb2add4506dfce9,,2018-11-22T14:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7416,5bf8009d5fb2add4506dfcaa,,2018-11-22T11:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7417,5bf800a05fb2add4506dfd38,,2018-11-22T16:20:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7418,5bf8009f5fb2add4506dfcd7,,2018-11-22T16:20:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7419,5bf800a05fb2add4506dfd52,,2018-11-20T16:28:00+02:00,2018-12-31T00:00:00+02:00,2018-11-20T00:00:00+02:00,active
7420,5bf800a25fb2add4506dfe04,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7421,5bf8009f5fb2add4506dfd0c,,,,,pending
7422,5bf8009f5fb2add4506dfcc1,,,,,
7423,5bf8009d5fb2add4506dfcae,,,,,
7424,5bf800a15fb2add4506dfd7e,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7425,5bf800a05fb2add4506dfd60,,2018-11-22T16:28:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7426,5bf8009f5fb2add4506dfcc2,,,,,
7427,5bf8009e5fb2add4506dfcb2,,,,,
7428,5bf8009f5fb2add4506dfcec,,,,,
7429,5bf800255fb2add4506df9e9,,,,,
7430,5bf8009f5fb2add4506dfcd5,,,,,pending
7431,5bf800255fb2add4506df9e6,,,,,
7432,5bf8009f5fb2add4506dfd16,,2018-11-22T00:00:00+02:00,2018-12-31T03:00:00+02:00,2018-11-22T03:00:00+02:00,active
7433,5bf8009f5fb2add4506dfce3,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7434,5bf800a15fb2add4506dfda1,,2018-11-21T18:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7435,5bf8018a5fb2add4506e01b6,,,,,pending
7436,5bf800a05fb2add4506dfd51,,2018-11-22T16:19:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7437,5bf8009e5fb2add4506dfcb5,,2018-11-16T11:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-16T00:00:00+02:00,active
7438,5bf8009f5fb2add4506dfcc6,,2018-11-22T16:18:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7439,5bf800255fb2add4506df9c8,,,,,
7440,5bf8009d5fb2add4506dfc8d,,2018-11-22T10:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7441,5bf800a15fb2add4506dfdc0,,,,,
7442,5bf8009f5fb2add4506dfcc3,,2018-11-22T14:00:00+02:00,2018-11-30T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7443,5bf8009f5fb2add4506dfce8,,2018-11-22T16:21:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7444,5bf801165fb2add4506e006c,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7445,5bf800255fb2add4506df9c9,,2018-11-22T11:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7446,5bf8009f5fb2add4506dfcd9,,2018-11-21T17:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7447,5bf800a25fb2add4506dfdf1,,2018-11-22T16:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7448,5bf8009f5fb2add4506dfcbb,,,,,
7449,5bf800245fb2add4506df9bc,,,,,
